,Att_Pen,Epochs,F1,Const_Att
0,0,1,0.4458583891391754,1
1,0,5,0.5083604454994202,1
2,0,10,0.6176747679710388,1
3,0,20,0.7513238191604614,1
4,0,50,0.9323992729187012,1
,1000,1,0.4463109076023102,0
,1000,5,0.4847072958946228,0
,1000,10,0.5293813347816467,0
,1000,20,0.5638856887817383,0
,1000,50,0.6132649779319763,0
,100,1,0.4471713900566101,0
,100,5,0.4986059069633484,0
,100,10,0.6179283857345581,0
,100,20,0.6365805864334106,0
,100,50,0.7940703630447388,0
,10,1,0.47980624437332153,0
,10,5,0.5590046644210815,0
,10,10,0.6202231645584106,0
,10,20,0.7723348736763,0
,10,50,0.8992989659309387,0
,1,1,0.4811481535434723,0
,1,5,0.535800576210022,0
,1,10,0.6257154941558838,0
,1,20,0.7854272127151489,0
,1,50,0.9386920928955078,0
,0.1,1,0.45457378029823303,0
,0.1,5,0.5194137096405029,0
,0.1,10,0.6123579740524292,0
,0.1,20,0.7623611092567444,0
,0.1,50,0.9317857623100281,0
,0.01,1,0.45108288526535034,0
,0.01,5,0.5234357118606567,0
,0.01,10,0.6093069314956665,0
,0.01,20,0.7545429468154907,0
,0.01,50,0.9283401370048523,0
,0,1,0.45603352785110474,0
,0,5,0.5174301266670227,0
,0,10,0.6534250974655151,0
,0,20,0.8258407711982727,0
,0,50,0.9735833406448364,0
